彝,彜
彎,弯
彿,髴
悴,忰
慍,愠
慙,慚
懺,懴
戛,戞
扠,扨
擡,抬
旛,旙
曠,昿
傑,杰
棕,椶
樒,櫁
檗,蘗
櫟,檪
殲,殱
炯,烱
煕,熈
熏,燻
熹,暿
犂,犁
犲,豺
狢,貉
猊,貎
獏,貘
琅,瑯
瑙,碯
瑶,瑤
瓔,珱
疇,畴
疣,肬
皖,晥
皸,皹
盪,蘯
眥,眦
稟,禀
筐,筺
筍,笋
箏,筝
籐,籘
籤,籖
纃,緕
羈,羇
羹,羮
膣,腟
臘,臈
艫,舮
苺,莓
萼,蕚
虱,蝨
蟇,蟆
蠎,蟒
蠹,蠧
衄,衂
衽,袵
裴,裵
襌,褝
謚,諡
譖,譛
貔,豼
贓,賍
躙,躪
輙,輒
輌,輛
遒,逎
鑪,鈩
鑽,鑚
閙,鬧
闊,濶
陦,隯
韜,鞱
齏,韲
韻,韵
飄,飃
鰮,鰛
鰤,魳
鱸,魲
鳧,鳬
鴟,鵄
鵝,鵞
鶇,鶫
鷆,鷏
麩,麸
執,犱
緒,緖
羨,羡
閏,閠
園,薗
歌,謌
旗,籏
競,竸
尭,堯
跡,蹟
湧,涌
遥,遙
累,縲
墻,牆
郎,郞
悦,悅
惧,懼
芻,蒭
襪,韈
あ,ア
ぃ,ィ
い,イ
ぅ,ゥ
う,ウ
ぇ,ェ
え,エ
ぉ,ォ
お,オ
か,カ
が,ガ
き,キ
ぎ,ギ
く,ク
ぐ,グ
け,ケ
げ,ゲ
こ,コ
ご,ゴ
さ,サ
ざ,ザ
し,シ
じ,ジ
す,ス
ず,ズ
せ,セ
ぜ,ゼ
そ,ソ
ぞ,ゾ
た,タ
だ,ダ
ち,チ
ぢ,ヂ
っ,ッ
つ,ツ
づ,ヅ
て,テ
で,デ
と,ト
ど,ド
な,ナ
に,ニ
ぬ,ヌ
ね,ネ
の,ノ
は,ハ
ば,バ
ぱ,パ
ひ,ヒ
び,ビ
ぴ,ピ
ふ,フ
ぶ,ブ
ぷ,プ
へ,ヘ
べ,ベ
ぺ,ペ
ほ,ホ
ぼ,ボ
ぽ,ポ
ま,マ
み,ミ
む,ム
め,メ
も,モ
ゃ,ャ
や,ヤ
ゅ,ュ
ゆ,ユ
ょ,ョ
よ,ヨ
ら,ラ
り,リ
る,ル
れ,レ
ろ,ロ
ゎ,ヮ
わ,ワ
ゐ,ヰ
ゑ,ヱ
を,ヲ
ん,ン
